course_id,course_code,description,year,enrollment
0,AR5101,DESIGN DISSERTATION I,9,7
1,AR5103,HOUSING,9,7
2,BB3104,TOTAL QUALITY MANAGEMENT,5,1
3,BB3140,EMPLOYMENT LAWS,5,1
4,CA3201,CRYPTOGRAPHY FUNDAMENTALS,6,1
5,CA3203,FUNDAMENTALS TO MOBILE COMPUTING,6,1
6,CV2203,ANALYSIS OF INDETERMINATE STRUCTURES,4,1
7,CV3103,DESIGN OF REINFORCED CONCRETE STRUCTURES,5,1
8,CV3104,WASTE WATER MANAGEMENT,5,1
9,CY1003,ENVIRONMENTAL SCIENCE,4,1
10,DOA2007,MARKETING FOR ENTREPRENEURSHIP,5,1
11,DOA2010,ESSENTIAL VALUES AND ETHICS: CULTIVATING PROFESSIONAL EXCELLENCE AND CAREER ADVANCEMENT,9,7
12,EC2201,ANALOG INTEGRATED CIRCUITS & SYSTEMS,4,1
13,EC3101,ANTENNAS,5,1
14,EC3103,ANALOG & DIGITAL COMMUNICATION,5,1
15,EC3104,CMOS VLSI DESIGN,5,1
16,EC3201,MICROWAVE ENGINEERING,6,1
17,EC3251,VLSI DESIGN WITH VERILOG HDL,6,1
18,EC4146,INFORMATION THEORY & CODING,7,1
19,EE2101,ANALOG & DIGITAL SYSTEM DESIGN,3,1
20,IT3202,AUTOMATA THEORY AND  COMPILER DESIGN (PC-13),6,1
21,LA1301,LEGAL RESEARCH METHODOLOGY,3,1
22,LA1901,INSURANCE LAW,9,1
23,LA1902,INTELLECTUAL PROPERTY RIGHT,9,1
24,LA1903,LAW OF TAXATION,9,1
25,LA1905,RIGHT TO INFORMATION,9,1
26,LA3101,FAMILY LAW I,5,1
27,LA3102,LAW OF CRIMES I,5,2
28,LA3103,COMPANY LAW I,5,2
29,LA3104,CODE OF CRIMINAL PROCEDURE I,5,1
30,LA3105,INTERNATIONAL LAW,5,3
31,LA3106,JURISPRUDENCE,5,3
32,LA3202,LAW OF CRIMES II,6,1
33,LA3203,COMPANY LAW II,6,4
34,LA3204,CODE OF CRIMINAL PROCEDURE II,6,3
35,LA3205,LAW OF EVIDENCE,6,2
36,LA4101,LAW OF PROPERTY & EASEMENT,7,3
37,LA4102,"PLEADING, DRAFTING AND CONVEYANCING",7,3
38,LA4103,ADMINISTRATIVE LAW,7,3
39,LA4104,CODE OF CIVIL PROCEDURE I,7,1
40,LA4105,ALTERNATIVE DISPUTE RESOLUTION,7,1
41,LA4142,"WOMAN, CHILD AND THE LAW",7,2
42,LA4201,LAND LAW AND TENANCY PROVISIONS,8,2
43,LA4202,LAW OF TAXATION,8,4
44,LA4203,MOOT COURT EXERCISE & INTERNSHIPS,8,4
45,LA4204,CODE OF CIVIL PROCEDURE II,8,3
46,LA4205,LAW OF INTELLECTUAL PROPERTY RIGHTS,8,1
47,LA4206,PROFESSIONAL ETHICS AND BAR- BENCH RELATIONS,8,1
48,LA5101,INSURANCE LAW,9,3
49,LA5102,"CRIMINOLOGY, PENOLOGY AND VICTIMOLOGY",9,3
50,LA5103,INSOLVENCY AND BANKRUPTCY LAW,9,3
51,LA5104,"LAW OF COMMERCIAL COURTS, SPECIFIC RELIEF AND LIMITATION",9,4
52,LA5105,CYBER LAW,9,5
53,LA5106,HUMAN RIGHTS AND INTERNATIONAL CONVENTIONS,9,6
54,LA5201,INTERNATIONAL CRIMINAL LAW AND INTERNATIONAL CRIMINAL COURT,10,2
55,LA5202,LAW OF ANTI- CORRUPTION AND RIGHT TO INFORMATION,10,2
56,LA5203,"LAW ON COMPETITION, MERGER AND ACQUISITION",10,2
57,LA5204,LAW OF BANKING AND NEGOTIABLE INSTRUMENTS,10,1
58,LA5205,LAW ON TRANSPORTATION,10,1
59,LA5206,LAW OF REGISTRATION AND STAMP DUTY,10,2
60,LAIX05,MEDIA & LAW,10,1
61,LN2207,FRENCH FOR BEGINNERS-II,4,1
62,LN5101,FOREIGN LANGUAGE,9,7
63,MA2109,ENGINEERING MATHEMATICS – III,3,2
64,MA2205,ENGINEERING MATHEMATICS,4,1
65,MA2207,ENGINEERING MATHEMATICS - IV,4,2
66,MA2209,BUSINESS STATISTICS,4,1
67,MA2210,NUMERICAL METHODS,4,1
68,MA2217,ENGINEERING MATHEMATICS – IV,4,1
69,ME0001,ENERGY CONVERSION AND WASTE HEAT RECOVERY,7,1
70,ME2202,FLUID MECHANICS,4,1
71,ME3102,DESIGN OF MACHINE ELEMENTS,5,1
72,ME3103,HEAT & MASS TRANSFER,5,1
73,ME3104,INTERNAL COMBUSTION ENGINE,5,3
74,ME3202,INTRODUCTION TO FINITE ELEMENT METHODS,6,2
75,ME4163,PRODUCTION PLANNING AND CONTROL,7,1
76,ME4166,TURBOMACHINERY,7,1
77,MEE3101,DESIGN OF MACHINE ELEMENTS,5,1
78,MEE3102,HEAT TRANSFER,5,1
79,MEE3120,SMART  MANUFACTURING,5,1
80,MEE3140,COMPUTER AIDED DESIGN,5,1
81,MEE3149,ALTERNATIVE  FUELS,5,1
